tuning_scope,feature_set,alpha,shrinkage,inner_fold_count,mean_inner_fold_mae,median_inner_fold_mae,worst_inner_fold_mae,best_inner_fold_mae,mean_active_features,minimum_active_features,maximum_active_features
outer_test=K19_to_K20,history_plus_all_socio_sensitivity,100.0,0.5,1,10.420534220185786,10.420534220185786,10.420534220185786,10.420534220185786,172.0,172,172
outer_test=K19_to_K20,history_plus_all_socio_sensitivity,10.0,0.5,1,10.533753457776944,10.533753457776944,10.533753457776944,10.533753457776944,172.0,172,172
outer_test=K19_to_K20,history_plus_all_socio_sensitivity,1000.0,1.0,1,14.571609259608616,14.571609259608616,14.571609259608616,14.571609259608616,172.0,172,172
outer_test=K19_to_K20,history_plus_all_socio_sensitivity,100.0,1.0,1,16.627522725257027,16.627522725257027,16.627522725257027,16.627522725257027,172.0,172,172
outer_test=K19_to_K20,history_plus_all_socio_sensitivity,10.0,1.0,1,16.850523773488696,16.850523773488696,16.850523773488696,16.850523773488696,172.0,172,172
outer_test=K19_to_K20,history_plus_locality_identity_diagnostic,1000.0,0.25,1,6.178894654135263,6.178894654135263,6.178894654135263,6.178894654135263,234.0,234,234
outer_test=K19_to_K20,history_plus_locality_identity_diagnostic,10.0,0.25,1,6.51379981468275,6.51379981468275,6.51379981468275,6.51379981468275,234.0,234,234
outer_test=K19_to_K20,history_plus_locality_identity_diagnostic,100.0,0.25,1,6.557232258100355,6.557232258100355,6.557232258100355,6.557232258100355,234.0,234,234
outer_test=K19_to_K20,history_plus_locality_identity_diagnostic,1000.0,0.5,1,8.268318482197913,8.268318482197913,8.268318482197913,8.268318482197913,234.0,234,234
outer_test=K19_to_K20,history_plus_locality_identity_diagnostic,100.0,0.5,1,9.055841009897735,9.055841009897735,9.055841009897735,9.055841009897735,234.0,234,234
outer_test=K19_to_K20,history_plus_locality_identity_diagnostic,10.0,0.5,1,9.057920001212977,9.057920001212977,9.057920001212977,9.057920001212977,234.0,234,234
outer_test=K19_to_K20,history_plus_locality_identity_diagnostic,1000.0,1.0,1,12.882796288172571,12.882796288172571,12.882796288172571,12.882796288172571,234.0,234,234
outer_test=K19_to_K20,history_plus_locality_identity_diagnostic,10.0,1.0,1,13.953702706699273,13.953702706699273,13.953702706699273,13.953702706699273,234.0,234,234
outer_test=K19_to_K20,history_plus_locality_identity_diagnostic,100.0,1.0,1,14.001370343600561,14.001370343600561,14.001370343600561,14.001370343600561,234.0,234,234
outer_test=K20_to_K21,history_only,1000.0,0.25,2,7.372942854324877,7.372942854324877,8.236169333092414,6.509716375557339,9.5,9,10
outer_test=K20_to_K21,history_only,100.0,0.25,2,8.284039316596699,8.284039316596699,9.681023848975544,6.887054784217855,9.5,9,10
outer_test=K20_to_K21,history_only,10.0,0.25,2,8.404830258577714,8.404830258577714,9.882805405656084,6.926855111499343,9.5,9,10
outer_test=K20_to_K21,history_only,1000.0,0.5,2,10.86124323694846,10.86124323694846,12.673806102425727,9.048680371471196,9.5,9,10
outer_test=K20_to_K21,history_only,100.0,0.5,2,12.841156447829693,12.841156447829693,15.716308769426618,9.966004126232768,9.5,9,10
outer_test=K20_to_K21,history_only,10.0,0.5,2,13.08685408593178,13.08685408593178,16.11619209098725,10.057516080876308,9.5,9,10
outer_test=K20_to_K21,history_only,1000.0,1.0,2,17.641209412683192,17.641209412683192,20.667029078528227,14.615389746838158,9.5,9,10
outer_test=K20_to_K21,history_only,100.0,1.0,2,19.956279989438347,19.956279989438347,23.82409635157746,16.088463627299234,9.5,9,10
outer_test=K20_to_K21,history_only,10.0,1.0,2,20.16665945994719,20.16665945994719,24.137144226596117,16.19617469329826,9.5,9,10
outer_test=K20_to_K21,history_plus_dynamic_socio,1000.0,0.25,2,7.188471474787123,7.188471474787123,7.975000547561403,6.4019424020128435,90.5,90,91
outer_test=K20_to_K21,history_plus_dynamic_socio,100.0,0.25,2,8.40716670154098,8.40716670154098,9.750694925408462,7.0636384776735,90.5,90,91
outer_test=K20_to_K21,history_plus_dynamic_socio,10.0,0.25,2,8.569958267535716,8.569958267535716,10.060969224710131,7.0789473103613,90.5,90,91
outer_test=K20_to_K21,history_plus_dynamic_socio,1000.0,0.5,2,10.75644949598092,10.75644949598092,12.287257046522088,9.225641945439753,90.5,90,91
outer_test=K20_to_K21,history_plus_dynamic_socio,100.0,0.5,2,13.427810031579622,13.427810031579622,16.03348798956717,10.822132073592071,90.5,90,91
outer_test=K20_to_K21,history_plus_dynamic_socio,10.0,0.5,2,13.760657525230984,13.760657525230984,16.60513434642365,10.916180704038318,90.5,90,91
outer_test=K20_to_K21,history_plus_dynamic_socio,1000.0,1.0,2,17.527816079778898,17.527816079778898,20.10968162753771,14.945950532020085,90.5,90,91
outer_test=K20_to_K21,history_plus_dynamic_socio,100.0,1.0,2,20.496703477125216,20.496703477125216,23.965666979258316,17.027739974992112,90.5,90,91
