feature_set,target_bloc,feature,folds_present,mean_effective_coefficient,mean_absolute_effective_coefficient,coefficient_standard_deviation,positive_fold_share
history_plus_all_socio_sensitivity,Arab,unemployment__מספר_משפחות_של_מקבלי_קצבאות_בגין_ילדים_סוף_שנה_עם_2_1_ילדים_במשפחה__annualized_change,5,0.006471724796711907,0.006471724796711907,0.0017534057657027972,1.0
history_plus_all_socio_sensitivity,Arab,unemployment__מספר_מקבלי_דמי_אבטלה_סה_כ_שנתי__level,1,0.0064492955255468125,0.0064492955255468125,,1.0
history_plus_all_socio_sensitivity,Arab,demographic__אחוז_בני_9_5_באוכלוסייה_בסוף_2015__level,3,-0.006379136597148778,0.006379136597148778,0.0021787141820687546,0.0
history_plus_all_socio_sensitivity,Arab,demographic__פטירות__level,5,0.006338435060541735,0.006338435060541735,0.0006858809464674922,1.0
history_plus_all_socio_sensitivity,Arab,demographic__יחס_תלות_לאלף_תושבים_בלתי_תלויים_2015__level,3,0.006265961764394108,0.006265961764394108,0.0001495740741055101,1.0
history_plus_all_socio_sensitivity,Arab,education__עובדי_הוראה_אחוז_בעלי_דרגת_שכר_תואר_שני_ומעלה__level,1,-0.0062345305135591625,0.0062345305135591625,,0.0
history_plus_all_socio_sensitivity,Arab,missing__demographic__שיעור_פטירות_מתוקנן_ל_1_000_תושבים__level,1,0.006014002115513223,0.006014002115513223,,1.0
history_plus_all_socio_sensitivity,Arab,demographic__אחוז_עולים_בני_44_18_בהשתקעות_ראשונה_2015__level,3,-0.0059902542763821814,0.0059902542763821814,0.005435956511516325,0.0
history_plus_all_socio_sensitivity,Arab,missing__demographic__הגירה_בתוך_הרשות_המקומית__level,1,0.0059187100638880994,0.0059187100638880994,,1.0
history_plus_all_socio_sensitivity,Arab,missing__demographic__אחוז_עולים_בני_17_0_בהשתקעות_ראשונה_2015__level,3,-0.0046646818807577674,0.005808536747248574,0.009092021365237932,0.3333333333333333
history_plus_all_socio_sensitivity,Arab,unemployment__ניצול_ימי_אבטלה_בשנה_חציון_שנתי__level,1,-0.005805705819167808,0.005805705819167808,,0.0
history_plus_all_socio_sensitivity,Arab,income__snapshot_age_years,5,-0.005605755164449872,0.005762760071935057,0.003538907013118974,0.2
history_plus_all_socio_sensitivity,Arab,missing__demographic__יהודים_ואחרים_אחוזים_מתוך_כלל_אוכלוסיית_הישראלים__level,1,0.005684067442061782,0.005684067442061782,,1.0
history_plus_all_socio_sensitivity,Arab,demographic__אחוז_בני_75_ומעלה_באוכלוסייה_בסוף_2015__level,3,0.004886739328047109,0.005626342783278358,0.005203904754347888,0.6666666666666666
history_plus_all_socio_sensitivity,Arab,education__אחוז_זכאים_לתעודת_בגרות_מבין_תלמידי_כיתות_יב__level,1,-0.005601076361057362,0.005601076361057362,,0.0
history_plus_all_socio_sensitivity,Arab,missing__income__אחוז_שינוי_ריאלי_של_הכנסה_ממוצעת_לחודש_של_העצמאים_לעומת_השנה_הקודמת__annualized_change,5,0.005440932548681552,0.005440932548681552,0.001481812392578726,1.0
history_plus_all_socio_sensitivity,Arab,unemployment__ימי_זכאות_לדמי_אבטלה_ממוצע_שנתי__level,1,0.005372842757849642,0.005372842757849642,,1.0
history_plus_all_socio_sensitivity,Arab,missing__unemployment__snapshot_interval_years,5,0.005359892917207389,0.005359892917207389,0.0005306718245835371,1.0
